header_title,header_subtitle,ad_link,ad_download_date_time,Asking price,    Asking price per m²,Listed since,Status,Acceptance,Kind of house,Building type,Year of construction,Accessibility,Specific,Type of roof,Areas,Living area,External storage space,Plot size,Volume in cubic meters,Number of rooms,Number of bath rooms,Bathroom facilities,Number of stories,Facilities,Energy label,Insulation,Heating,Hot water,Area,Ownership situation,Location,Garden,Front garden,Garden location,Shed / storage,Facilities.1,Insulation.1,Type of parking facilities,error,VVE (Owners Association) contribution,Type apartment,Exterior space attached to the building,Located at,Balcony/roof garden,Registration with KvK,Annual meeting,Periodic contribution,Reserve fund present,Maintenance plan,Building insurance,Service charges,Fees,Type of garage,Capacity,Other space inside the building,CH boiler,Facilities.2,Back garden,Provisional energy label,Construction period,Ownership situation.1,Quality marks,Original asking price,Sun terrace,Ownership situation.2,Ownership situation.3,Fees.1,Patio/atrium,Purchase combination,Aangeboden sinds,Verkoopdatum,Looptijd,Dimensions,Ownership situation.4,Type of property,Insulation.2,Side garden,Fees.2,Fees.3,Location.1
Ben Websterstraat 16,3069 XJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42548338-ben-websterstraat-16/?navigateSource=resultlist,20220125_212533,"€ 400,000 kosten koper","€ 3,279    The asking price per m² (€ 400,000) is calculated by dividing the asking price of the home by the living area (122 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",7 weeks,Sold under reservation,Available in consultation,"Single-family home, corner house (kwadrant wonings)",Resale property,1987,Disabled access friendly and accessible for seniors,Partly furnished with carpets and curtains,Gable roof covered with roof tiles,Living area122 m²External storage space15 m²,122 m²,15 m²,156 m²,399 m³,4 rooms (3 bedrooms),2 bathrooms,Bath and 2 toilets,3 stories and a loft,"Air conditioning, outdoor awning, skylight, mechanical ventilation, passive ventilation system, flue, sliding door and TV via cable",B        What does this mean?,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",Fireplace and district heating,District heating,156 m²,Full ownership,Sheltered location and in residential district,Front garden and side garden,72 m² (6 meter deep and 12 meter broad),Located at the west,Detached wooden storage,Electricity,No insulation,Public parking,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kees Pijlstraat 21 inc box,3077 MH Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-42650256-kees-pijlstraat-21-inc-box/?navigateSource=resultlist,20220125_212550,"€ 450,000 kosten koper","€ 3,020    The asking price per m² (€ 450,000) is calculated by dividing the asking price of the home by the living area (149 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",5 weeks,Sold under reservation,Available in consultation,"Single-family home, row house",Resale property,1998,,,Flat roof,Living area149 m²Exterior space attached to the building45 m²External storage space26 m²,149 m²,26 m²,,556 m³,5 rooms (3 bedrooms),1 bathroom and 2 separate toilets,Bath and shower,3 stories,"Mechanical ventilation, sliding door and TV via cable",A        What does this mean?,Completely insulated,District heating,District heating,,Municipal long-term lease (end date of long-term lease:  30-12-2095),,Front garden,,,,,,,no,,,45 m²,,Roof terrace present,,,,,,,€ 215 per month,Paid until 30-12-2095,Garage,1 car,,,,,,,,,,,,,,,,,,,,,,,,,,
Laagjes 11,3076 BJ Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/huis-88871071-laagjes-11/?navigateSource=resultlist,20220125_212558,"€ 650,000 kosten koper","€ 3,801    The asking price per m² (€ 650,000) is calculated by dividing the asking price of the home by the living area (171 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ",5 months,Available,Available in consultation,"Single-family home, row house (official/company house or apartment)",Resale property,1982,,,Flat roof covered with asphalt roofing,Living area171 m²Other space inside the building229 m²Exterior space attached to the building78 m²,171 m²,,282 m²,"1,640 m³",5 rooms (3 bedrooms),2 separate toilets,,2 stories,Rolldown shutters and solar panels,Not available,Mostly double glazed,CH boiler,CH boiler and gas-fired boiler,282 m²,Full ownership,In residential district,,,,Built-in,Loft and electricity,,Parking on private property and public parking,no,,,78 m²,,Roof terrace present,,,,,,,,,Built-in,6 cars,229 m²,"HR ( combination boiler from 2017, in ownership)",Electrical door and electricity,,,,,,,,,,,,,,,,,,,,,,,
Bergweg 41 d,3037 EA Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88045713-bergweg-41-d/?navigateSource=resultlist,20220125_212607,"€ 525,000 kosten koper","€ 3,571    The asking price per m² (€ 525,000) is calculated by dividing the asking price of the home by the living area (147 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 24, 2022",Available,Available in consultation,,Resale property,1935,,,,Living area147 m²,147 m²,,,495 m³,5 rooms (3 bedrooms),,,2 stories,,A        What does this mean?,Double glazing,CH boiler,CH boiler,,Full ownership,,Back garden,,Located at the west,,,,Paid parking and public parking,no,,Ground-floor apartment (apartment),,Ground floor,,Yes,No,Yes,Yes,No,Yes,,,,,,"Gas-fired combination boiler from 2021, in ownership",,"19 m² (3,35 meter deep and 5,6 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Molensingel 94,3043 KC Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88043572-molensingel-94/?navigateSource=resultlist,20220125_212616,"€ 295,000 kosten koper","€ 3,598    The asking price per m² (€ 295,000) is calculated by dividing the asking price of the home by the living area (82 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 21, 2022",Available,Available in consultation,,Resale property,1938,,,Gable roof covered with roof tiles,Living area82 m²Other space inside the building10 m²Exterior space attached to the building3 m²External storage space4 m²,82 m²,4 m²,,320 m³,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,Shower,3 stories,,,Partly double glazed,CH boiler,CH boiler,,Full ownership,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",,,,Detached wooden storage,,,Public parking,no,,Upstairs apartment (apartment),3 m²,1st floor,,No,No,No,No,No,No,,,,,10 m²,"Remeha (gas-fired combination boiler from 2017, in ownership)",,,G        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Jonker Fransstraat 43 C,3031 AM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88043153-jonker-fransstraat-43-c/?navigateSource=resultlist,20220125_212624,"€ 324,500 kosten koper","€ 5,408    The asking price per m² (€ 324,500) is calculated by dividing the asking price of the home by the living area (60 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 21, 2022",Available,Available in consultation,,Resale property,1955,,,,Living area60 m²Exterior space attached to the building6 m²External storage space8 m²,60 m²,8 m²,,214 m³,3 rooms (2 bedrooms),1 bathroom and 1 separate toilet,Shower,1 story,,,Double glazing,CH boiler,CH boiler,,Full ownership,"In center, in residential district and unobstructed surrounding view",,,,Built-in,,,,no,€ 65.00 per month,Residential property with shared street entrance (apartment),6 m²,3rd floor,Balcony present,Yes,Yes,Yes (€ 65.00 per month),Yes,Yes,Yes,,,,,,"2016, in ownership",,,E        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Dresselhuysstraat 28 a,3039 ZK Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88042681-dresselhuysstraat-28-a/?navigateSource=resultlist,20220125_212633,"€ 439,500 kosten koper","€ 4,626    The asking price per m² (€ 439,500) is calculated by dividing the asking price of the home by the living area (95 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 20, 2022",Available,Available in consultation,,Resale property,1936,,,,Living area95 m²Other space inside the building10 m²Exterior space attached to the building10 m²External storage space6 m²,95 m²,6 m²,,383 m³,2 rooms (1 bedroom),1 bathroom and 1 separate toilet,Shower,2 stories,Outdoor awning and mechanical ventilation,,Double glazing,CH boiler,CH boiler,,Full ownership,"Alongside a quiet road, in center and in residential district",Back garden,,Located at the east accessible via the rear,Detached wooden storage,,,,no,€ 94.37 per month,Double ground-floor apartment (apartment),10 m²,1st floor,,Yes,Yes,Yes (€ 94.37 per month),Yes,Yes,Yes,,,,,10 m²,"2009, in ownership",,"74 m² (10,71 meter deep and 6,87 meter broad)",G        What does this mean?,,,,,,,,,,,,,,,,,,,,,
Müllerkade 635,3024 EP Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42688867-mullerkade-635/?navigateSource=resultlist,20220125_212641,"€ 348,500 kosten koper","€ 4,774    The asking price per m² (€ 348,500) is calculated by dividing the asking price of the home by the living area (73 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 21, 2022",Available,Available in consultation,,Resale property,,Disabled access friendly and accessible for seniors,,Flat roof covered with asphalt roofing,Living area73 m²Exterior space attached to the building3 m²External storage space3 m²,73 m²,3 m²,,232 m³,2 rooms (1 bedroom),1 separate toilet,,1 story,"Elevator, mechanical ventilation and TV via cable",,Completely insulated,District heating,Central facility,,Full ownership,"Alongside a quiet road, on navigable waterway, sheltered location and in residential district",,,,Built-in,,,Paid parking and public parking,no,€ 103.52 per month,Upstairs apartment (corridor apartment),3 m²,3rd floor,Balcony present,Yes,Yes,Yes (€ 103.52 per month),Yes,Yes,Yes,,,,,,,,,A        What does this mean?,2001-2010,Full ownership,,,,,,,,,,,,,,,,,,,
Heemraadssingel 196 a,3021 DM Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-42674944-heemraadssingel-196-a/?navigateSource=resultlist,20220125_212649,"€ 760,000 kosten koper","€ 3,486    The asking price per m² (€ 760,000) is calculated by dividing the asking price of the home by the living area (218 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 17, 2022",Available,Available in consultation,,Resale property,1908,,Monumental building,,Living area218 m²Exterior space attached to the building44 m²,218 m²,,,648 m³,3 rooms (3 bedrooms),2 bathrooms,Bath and toilet,4 stories,Mechanical ventilation,Not available,,CH boiler and partial floor heating,CH boiler,,Full ownership,,Back garden,,Located at the southeast,Built-in,Electricity and running water,,Paid parking and public parking,no,€ 275.00 per month,Ground-floor apartment (basement),44 m²,Ground floor,,Yes,No,Yes (€ 275.00 per month),No,No,Yes,,,,,,"Remeha (gas-fired combination boiler from 2021, in ownership)",,"44 m² (5,8 meter deep and 7,5 meter broad)",,,,,,,,,,,,,,,,,,,,,,
Abeelweg 94,3053 PB Rotterdam        ,https://www.funda.nl/en/koop/rotterdam/appartement-88038078-abeelweg-94/?navigateSource=resultlist,20220125_212656,"€ 275,000 kosten koper","€ 2,895    The asking price per m² (€ 275,000) is calculated by dividing the asking price of the home by the living area (95 m²). Plot size and outbuildings aren't taken into account into this calculation. More information  ","January 17, 2022",Available,Available immediately,,Resale property,1961,,,Flat roof covered with asphalt roofing,Living area95 m²Exterior space attached to the building22 m²External storage space4 m²,95 m²,4 m²,,324 m³,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,,1 story,Elevator,G        What does this mean?,,Communal central heating,,,,"Alongside park, alongside a quiet road and in residential district",,,,Attached brick storage,,,Public parking,no,€ 204.30 per month,Residential property with shared street entrance (apartment),22 m²,1st floor,Balcony present,Yes,Yes,Yes (€ 204.30 per month),Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
