ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/huis-42548338-ben-websterstraat-16/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p2/,20220124_234329
https://www.funda.nl/en/koop/rotterdam/appartement-42664398-sint-jobskade-374/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p4/,20220124_234345
https://www.funda.nl/en/koop/rotterdam/huis-42650256-kees-pijlstraat-21-inc-box/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p10/,20220124_234458
https://www.funda.nl/en/koop/rotterdam/huis-88871071-laagjes-11/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p10/,20220124_234458
https://www.funda.nl/en/koop/rotterdam/appartement-88045713-bergweg-41-d/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88043572-molensingel-94/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88043153-jonker-fransstraat-43-c/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88042681-dresselhuysstraat-28-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-42688867-mullerkade-635/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-42674944-heemraadssingel-196-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88038078-abeelweg-94/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-42672066-beukelsweg-47-aii/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-42672800-laan-op-zuid-1558/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88026599-walenburgerweg-48-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
https://www.funda.nl/en/koop/rotterdam/appartement-88908912-binnenrotte-317/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p11/,20220124_234507
